	ISO3	current_mammal_SR	rcp26_mammal_SR	rcp26_mammal_pctChange	rcp45_mammal_SR	rcp45_mammal_pctChange	rcp60_mammal_SR	rcp60_mammal_pctChange	rcp85_mammal_SR	rcp85_mammal_pctChange	current_bird_SR	rcp26_bird_SR	rcp26_bird_pctChange	rcp45_bird_SR	rcp45_bird_pctChange	rcp60_bird_SR	rcp60_bird_pctChange	rcp85_bird_SR	rcp85_bird_pctChange	current_both_SR	rcp26_both_SR	rcp26_both_pctChange	rcp45_both_SR	rc45_both_pctChange	rcp60_both_SR	rcp60_both_pctChange	rcp85_both_SR	rcp85_both_pctChange	GDP_per_capita	CO2_per_capita	Governance_score
1	AFG	78.74085366	86.30792683	9.610097959	83.31707317	5.811747396	83.03353659	5.451659116	81.32926829	3.287257521	207.2530488	210.1554878	1.400432487	198.2804878	-4.329278159	199.2987805	-3.837949955	191.1219512	-7.783286015	285.9939024	296.4634146	3.660746647	281.597561	-1.537215104	282.3323171	-1.2803019	272.4512195	-4.735304778	561.7787	0.29944499	-1.583333333
2	AGO	194.5725552	184.4242902	-5.215671333	174.4637224	-10.33487626	170.4353312	-12.4052562	151.5015773	-22.13620409	561.2728707	529.0425868	-5.742355563	511.0757098	-8.943450415	499.3706625	-11.02889725	453.8832808	-19.13322299	755.8454259	713.466877	-5.60677454	685.5394322	-9.301636457	669.8059937	-11.38320472	605.384858	-19.90626161	3308.7002	1.29132831	-0.913333333
3	ALB	183.8461538	193.6923077	5.355648536	189.0769231	2.845188285	197.8461538	7.615062762	204.5384615	11.25523013	408.8461538	413.4615385	1.128880527	390.6153846	-4.459078081	410.6153846	0.432737535	405.3846154	-0.846660395	592.6923077	607.1538462	2.439974043	579.6923077	-2.193380921	608.4615385	2.660609994	609.9230769	2.907203115	4124.9824	1.97876331	0.011666667
4	ARE	39.42105263	41.26315789	4.672897196	40.63157895	3.070761015	40.36842105	2.403204272	39.36842105	-0.133511348	55.5	59.31578947	6.875296349	51.42105263	-7.349454718	51.92105263	-6.448553817	46.68421053	-15.88430536	94.92105263	100.5789474	5.960632104	92.05263158	-3.021901857	92.28947368	-2.772387025	86.05263158	-9.342944275	37622.2075	23.30202251	0.658333333
5	ARG	72.28973277	74.64486639	3.257908868	75.11884669	3.913576404	75.9535865	5.068290595	75.7862166	4.836764076	290.4338959	297.9746835	2.596386899	296.5140647	2.093477677	300.6905767	3.53150265	297.371308	2.388637206	362.7236287	372.6195499	2.728226246	371.6329114	2.456217901	376.6441632	3.837779885	373.1575246	2.876541558	12440.321	4.74679746	0.01
6	ARM	204.4	200.8	-1.761252446	185	-9.491193738	191.6666667	-6.229615134	173	-15.36203523	492.1333333	458.3333333	-6.868057437	423.9333333	-13.85803305	435.9333333	-11.41966947	385.4666667	-21.674343	696.5333333	659.1333333	-5.369448698	608.9333333	-12.57656968	627.6	-9.896630934	558.4666667	-19.8219755	3614.6884	1.90275891	-0.13
7	ATG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	805	847	5.217391304	797	-0.99378882	806	0.124223602	778	-3.354037267	NA	NA	0.403333333
8	AUS	88.84248149	87.28899668	-1.748583317	84.83890733	-4.506373636	85.02093439	-4.301486224	82.64207302	-6.979103208	309.3911156	293.1868777	-5.23746065	281.5292316	-9.005392426	280.990554	-9.179501355	272.3992852	-11.95633249	398.2335971	380.4758744	-4.459122202	366.3681389	-8.00170013	366.0114884	-8.091258243	355.0413582	-10.84595556	49755.3155	15.37013776	1.578333333
9	AUT	154.8888889	160.0444444	3.328550933	161.4	4.203730273	163.3777778	5.480631277	161.6888889	4.390243902	368.8666667	356.6444444	-3.313452618	354.4666667	-3.903849629	357.4222222	-3.102596542	345.5333333	-6.32568227	523.7555556	516.6888889	-1.349229921	515.8666667	-1.506215792	520.8	-0.564300564	507.2222222	-3.156688871	44757.6349	6.86986793	1.461666667
10	AZE	192.7777778	183.7555556	-4.680115274	172.0666667	-10.74351585	172.1555556	-10.69740634	158.8222222	-17.61383285	415.2666667	379.4	-8.637020389	338.4222222	-18.50484294	337.9777778	-18.61186921	304.5777778	-26.65489378	608.0444444	563.1555556	-7.382501279	510.4888889	-16.04414882	510.1333333	-16.10262408	463.4	-23.78846576	3878.7093	3.93156061	-0.685
